latitude,longitude,elevation,slope,clay_percentage,aspect,aspect_sin,aspect_cos,clay_percent,sand_percent,silt_percent,bulk_density,shear_stress_factor
24.97,92.78,86.0,4.8,23.3,0.0,0.0,1.0,23.3,37.0,27.7,1.23,0.0876
24.97,92.79,48.0,5.7,22.1,47.9,0.742,0.6704,22.1,36.3,29.1,1.22,0.1037
24.97,92.8,44.0,7.5,22.8,132.1,0.742,-0.6704,22.8,38.0,29.4,1.19,0.1365
24.97,92.81,32.0,11.4,22.6,90.0,1.0,0.0,22.6,39.0,29.7,1.18,0.2066
24.97,92.82,98.0,8.2,21.8,180.0,0.0,-1.0,21.8,36.6,30.2,1.17,0.1488
24.97,92.83,72.0,11.6,21.0,90.0,1.0,0.0,21.0,39.2,29.2,1.19,0.2095
24.97,92.84,64.0,9.3,22.1,47.9,0.742,0.6704,22.1,39.1,30.7,1.19,0.1687
24.97,92.85,95.0,5.1,20.8,0.0,0.0,1.0,20.8,36.5,32.5,1.23,0.0926
24.97,92.86,54.0,6.1,22.4,90.0,1.0,0.0,22.4,39.6,29.7,1.2,0.111
24.98,92.74,98.0,8.8,23.6,0.0,0.0,1.0,23.6,38.1,26.5,1.15,0.1602
24.98,92.75,27.0,14.1,24.2,90.0,1.0,0.0,24.2,34.7,26.8,1.2,0.2554
24.98,92.76,74.0,15.9,21.4,132.1,0.742,-0.6704,21.4,34.0,29.3,1.17,0.2857
24.98,92.77,105.0,17.9,20.4,90.0,1.0,0.0,20.4,35.4,30.1,1.16,0.3199
24.98,92.78,116.0,12.6,22.5,47.9,0.742,0.6704,22.5,36.6,30.4,1.17,0.228
24.98,92.79,66.0,16.6,22.1,132.1,0.742,-0.6704,22.1,36.8,30.8,1.19,0.2983
24.98,92.8,87.0,19.8,20.7,90.0,1.0,0.0,20.7,37.5,31.1,1.19,0.3528
24.98,92.81,134.0,14.7,20.7,90.0,1.0,0.0,20.7,34.7,30.8,1.14,0.2643
24.98,92.82,64.0,16.5,21.4,47.9,0.742,0.6704,21.4,37.2,30.2,1.14,0.2962
24.98,92.83,176.0,13.8,21.5,180.0,0.0,-1.0,21.5,38.1,29.1,1.14,0.2488
24.98,92.84,129.0,10.2,21.4,132.1,0.742,-0.6704,21.4,32.9,32.0,1.15,0.1847
24.98,92.85,106.0,16.1,20.8,90.0,1.0,0.0,20.8,36.6,31.0,1.14,0.2889
24.98,92.86,108.0,11.9,20.0,47.9,0.742,0.6704,20.0,35.7,32.1,1.16,0.2145
24.98,92.87,45.0,7.9,22.5,0.0,0.0,1.0,22.5,40.2,29.2,1.2,0.1436
24.98,92.88,78.0,6.0,22.3,132.1,0.742,-0.6704,22.3,39.9,31.2,1.19,0.1092
24.98,92.89,52.0,11.0,20.9,90.0,1.0,0.0,20.9,40.0,30.5,1.2,0.1988
24.98,92.9,98.0,10.7,23.8,132.1,0.742,-0.6704,23.8,40.0,29.3,1.17,0.1945
24.98,92.91,143.0,29.8,22.4,132.1,0.742,-0.6704,22.4,33.8,30.6,1.15,0.5192
24.99,92.73,95.0,8.9,23.2,47.9,0.742,0.6704,23.2,40.9,28.1,1.17,0.1619
24.99,92.74,79.0,14.3,23.8,132.1,0.742,-0.6704,23.8,38.0,26.8,1.16,0.2588
24.99,92.75,154.0,33.2,24.4,132.1,0.742,-0.6704,24.4,36.8,25.9,1.14,0.5743
24.99,92.76,170.0,40.4,23.5,90.0,1.0,0.0,23.5,35.3,27.4,1.18,0.6786
24.99,92.77,268.0,35.0,23.5,90.0,1.0,0.0,23.5,36.5,28.6,1.18,0.6005
24.99,92.78,206.0,31.4,24.5,47.9,0.742,0.6704,24.5,38.3,26.4,1.15,0.5465
24.99,92.79,162.0,33.4,21.6,132.1,0.742,-0.6704,21.6,37.8,28.2,1.14,0.5743
24.99,92.8,269.0,34.1,22.5,90.0,1.0,0.0,22.5,37.3,28.2,1.14,0.5859
24.99,92.81,266.0,32.4,21.8,90.0,1.0,0.0,21.8,36.9,30.1,1.15,0.5592
24.99,92.82,200.0,29.6,21.7,47.9,0.742,0.6704,21.7,38.5,29.0,1.14,0.5154
24.99,92.83,181.0,28.8,22.5,90.0,1.0,0.0,22.5,36.2,30.1,1.12,0.5034
24.99,92.84,189.0,21.6,22.5,47.9,0.742,0.6704,22.5,33.3,30.9,1.12,0.3847
24.99,92.85,252.0,22.6,22.9,0.0,0.0,1.0,22.9,32.3,29.5,1.12,0.4019
24.99,92.86,62.0,22.6,20.3,0.0,0.0,1.0,20.3,36.6,31.2,1.14,0.3999
24.99,92.87,66.0,8.4,22.5,47.9,0.742,0.6704,22.5,39.3,30.3,1.17,0.1527
24.99,92.88,71.0,11.1,22.6,132.1,0.742,-0.6704,22.6,39.2,29.8,1.18,0.2012
24.99,92.89,150.0,11.0,21.4,90.0,1.0,0.0,21.4,30.7,32.2,1.21,0.199
24.99,92.9,103.0,15.2,20.9,180.0,0.0,-1.0,20.9,34.8,31.2,1.21,0.2731
24.99,92.91,227.0,33.8,20.9,180.0,0.0,-1.0,20.9,31.0,31.6,1.12,0.5795
24.99,92.92,532.0,35.0,21.0,270.0,-1.0,-0.0,21.0,29.2,32.1,1.12,0.5977
24.99,92.93,524.0,26.9,19.3,227.9,-0.742,-0.6704,19.3,31.1,33.2,1.12,0.4699
24.99,92.94,517.0,15.9,22.0,227.9,-0.742,-0.6704,22.0,29.7,32.2,1.1,0.286
25.0,92.71,283.0,16.8,21.8,270.0,-1.0,-0.0,21.8,41.9,28.7,1.15,0.3016
25.0,92.72,201.0,20.9,24.0,0.0,0.0,1.0,24.0,40.0,27.4,1.18,0.3739
25.0,92.73,27.0,20.9,23.0,0.0,0.0,1.0,23.0,40.2,27.0,1.2,0.3731
25.0,92.74,62.0,22.7,24.5,180.0,0.0,-1.0,24.5,38.5,25.9,1.17,0.4048
25.0,92.75,253.0,37.2,24.8,180.0,0.0,-1.0,24.8,33.6,28.8,1.12,0.6346
25.0,92.76,599.0,41.0,23.9,270.0,-1.0,-0.0,23.9,33.6,30.0,1.12,0.6874
25.0,92.77,621.0,38.0,24.7,270.0,-1.0,-0.0,24.7,37.3,29.9,1.18,0.6461
25.0,92.78,498.0,30.1,25.2,90.0,1.0,0.0,25.2,36.8,28.7,1.16,0.5268
25.0,92.79,474.0,31.7,22.9,90.0,1.0,0.0,22.9,36.4,29.2,1.13,0.5495
25.0,92.8,610.0,34.1,24.4,90.0,1.0,0.0,24.4,35.9,29.3,1.15,0.588
25.0,92.81,586.0,32.4,25.5,90.0,1.0,0.0,25.5,35.5,29.0,1.15,0.5632
25.0,92.82,343.0,36.5,23.1,90.0,1.0,0.0,23.1,36.3,29.8,1.12,0.6223
25.0,92.83,458.0,29.4,22.4,90.0,1.0,0.0,22.4,35.3,31.4,1.14,0.5129
25.0,92.84,297.0,33.2,20.1,47.9,0.742,0.6704,20.1,35.2,31.9,1.15,0.5696
25.0,92.85,309.0,20.0,20.8,47.9,0.742,0.6704,20.8,34.0,31.7,1.12,0.3562
25.0,92.86,166.0,17.4,21.4,0.0,0.0,1.0,21.4,34.6,31.5,1.14,0.3118
25.0,92.87,70.0,14.3,20.5,47.9,0.742,0.6704,20.5,34.5,32.7,1.15,0.2571
25.0,92.88,95.0,15.2,21.6,90.0,1.0,0.0,21.6,34.6,31.5,1.159,0.2735
25.0,92.89,205.0,13.6,22.0,180.0,0.0,-1.0,22.0,32.7,31.0,1.169,0.2455
25.0,92.9,173.0,14.5,22.9,132.1,0.742,-0.6704,22.9,34.0,28.7,1.17,0.2618
25.0,92.91,77.0,33.8,22.3,227.9,-0.742,-0.6704,22.3,31.7,29.2,1.17,0.5811
25.0,92.92,179.0,35.0,21.2,270.0,-1.0,-0.0,21.2,30.9,32.3,1.137,0.5979
25.0,92.93,323.0,26.9,22.8,180.0,0.0,-1.0,22.8,27.8,30.5,1.12,0.4731
25.0,92.94,555.0,30.7,23.7,270.0,-1.0,-0.0,23.7,35.0,30.2,1.13,0.5347
25.0,92.95,606.0,27.2,24.7,227.9,-0.742,-0.6704,24.7,35.9,30.9,1.12,0.4797
25.0,92.96,661.0,16.2,25.4,90.0,1.0,0.0,25.4,33.1,29.8,1.15,0.2932
25.01,92.7,126.0,13.0,22.5,227.9,-0.742,-0.6704,22.5,40.0,28.1,1.16,0.2351
25.01,92.71,131.0,19.4,22.6,132.1,0.742,-0.6704,22.6,39.7,27.2,1.16,0.3472
25.01,92.72,139.0,24.6,24.9,90.0,1.0,0.0,24.9,40.5,26.8,1.15,0.437
25.01,92.73,74.0,31.9,24.6,90.0,1.0,0.0,24.6,40.0,25.1,1.15,0.5544
25.01,92.74,38.0,27.2,24.0,47.9,0.742,0.6704,24.0,37.0,27.0,1.161,0.479
25.01,92.75,33.0,39.8,24.1,227.9,-0.742,-0.6704,24.1,34.7,27.2,1.2,0.671
25.01,92.76,160.0,41.0,23.5,270.0,-1.0,-0.0,23.5,36.0,28.5,1.153,0.6869
25.01,92.77,227.0,38.0,23.6,270.0,-1.0,-0.0,23.6,36.8,28.9,1.156,0.6447
25.01,92.78,301.0,25.2,24.1,312.1,-0.742,0.6704,24.1,35.6,29.1,1.145,0.4463
25.01,92.79,463.0,19.5,24.5,180.0,0.0,-1.0,24.5,34.2,29.3,1.12,0.3502
25.01,92.8,480.0,31.4,24.6,132.1,0.742,-0.6704,24.6,35.9,29.6,1.138,0.5466
25.01,92.81,711.0,28.4,25.2,47.9,0.742,0.6704,25.2,37.4,31.1,1.15,0.4996
25.01,92.82,716.0,36.5,25.0,90.0,1.0,0.0,25.0,36.8,30.5,1.15,0.6246
25.01,92.83,742.0,35.3,24.1,0.0,0.0,1.0,24.1,34.0,31.2,1.19,0.6057
25.01,92.84,419.0,35.3,25.9,0.0,0.0,1.0,25.9,37.4,29.4,1.17,0.6078
25.01,92.85,370.0,18.1,25.4,47.9,0.742,0.6704,25.4,35.2,29.8,1.15,0.3265
25.01,92.86,244.0,15.4,21.9,0.0,0.0,1.0,21.9,36.5,29.7,1.12,0.2772
25.01,92.87,149.0,15.0,20.2,47.9,0.742,0.6704,20.2,36.3,31.8,1.15,0.2693
25.01,92.88,232.0,15.2,22.1,90.0,1.0,0.0,22.1,30.7,31.1,1.14,0.2738
25.01,92.89,208.0,21.6,21.5,90.0,1.0,0.0,21.5,30.7,33.0,1.13,0.384
25.01,92.9,224.0,22.8,22.2,90.0,1.0,0.0,22.2,32.0,31.5,1.14,0.4047
25.01,92.91,349.0,29.4,19.9,0.0,0.0,1.0,19.9,29.8,33.3,1.14,0.5104
25.01,92.92,92.0,29.4,20.9,0.0,0.0,1.0,20.9,36.3,35.9,1.16,0.5114
25.01,92.93,213.0,26.7,20.8,227.9,-0.742,-0.6704,20.8,28.5,33.5,1.13,0.468
25.01,92.94,256.0,31.3,20.4,180.0,0.0,-1.0,20.4,28.7,33.7,1.12,0.5407
25.01,92.95,533.0,31.3,22.5,180.0,0.0,-1.0,22.5,29.3,32.3,1.12,0.5429
25.01,92.96,808.0,35.9,23.0,227.9,-0.742,-0.6704,23.0,34.3,31.7,1.15,0.6133
25.01,92.97,718.0,19.4,25.0,270.0,-1.0,-0.0,25.0,33.2,31.0,1.15,0.3488
25.01,92.98,686.0,18.1,24.9,0.0,0.0,1.0,24.9,29.7,31.2,1.14,0.3261
25.01,92.99,537.0,35.1,23.1,90.0,1.0,0.0,23.1,32.8,30.0,1.14,0.6016
25.02,92.68,224.0,25.2,24.7,90.0,1.0,0.0,24.7,37.8,28.7,1.15,0.4468
25.02,92.69,271.0,26.1,22.0,132.1,0.742,-0.6704,22.0,41.3,28.8,1.14,0.4593
25.02,92.7,227.0,36.8,23.5,90.0,1.0,0.0,23.5,42.1,28.1,1.14,0.6272
25.02,92.71,197.0,33.8,23.8,132.1,0.742,-0.6704,23.8,40.5,26.6,1.16,0.5828
25.02,92.72,370.0,29.2,23.5,90.0,1.0,0.0,23.5,39.8,28.5,1.14,0.5108
25.02,92.73,388.0,31.9,24.1,90.0,1.0,0.0,24.1,38.8,28.2,1.14,0.5539
25.02,92.74,194.0,29.9,23.7,47.9,0.742,0.6704,23.7,33.1,28.5,1.15,0.5221
25.02,92.75,144.0,22.1,22.8,132.1,0.742,-0.6704,22.8,38.4,27.1,1.13,0.3934
25.02,92.76,210.0,22.6,22.0,90.0,1.0,0.0,22.0,37.7,29.0,1.16,0.4012
25.02,92.77,50.0,39.5,22.6,180.0,0.0,-1.0,22.6,40.4,27.1,1.15,0.6648
25.02,92.78,426.0,39.5,23.6,180.0,0.0,-1.0,23.6,33.8,29.3,1.15,0.6661
25.02,92.79,568.0,21.9,24.8,227.9,-0.742,-0.6704,24.8,33.7,30.0,1.15,0.3915
25.02,92.8,637.0,29.5,24.5,180.0,0.0,-1.0,24.5,35.3,29.5,1.16,0.5166
25.02,92.81,895.0,35.7,24.8,270.0,-1.0,-0.0,24.8,40.1,28.8,1.07,0.6125
25.02,92.82,962.0,32.3,22.6,227.9,-0.742,-0.6704,22.6,35.4,31.7,1.1,0.5585
25.02,92.83,717.0,28.2,23.6,0.0,0.0,1.0,23.6,35.0,30.8,1.17,0.4949
25.02,92.84,592.0,25.2,26.8,0.0,0.0,1.0,26.8,36.9,29.1,1.17,0.4486
25.02,92.85,377.0,25.2,21.3,0.0,0.0,1.0,21.3,35.2,30.4,1.12,0.4439
25.02,92.86,331.0,19.9,22.5,0.0,0.0,1.0,22.5,31.9,29.2,1.14,0.3557
25.02,92.87,166.0,23.6,22.3,90.0,1.0,0.0,22.3,32.4,31.5,1.15,0.4182
25.02,92.88,214.0,23.0,22.2,180.0,0.0,-1.0,22.2,32.4,30.6,1.12,0.4081
25.02,92.89,408.0,23.0,21.8,180.0,0.0,-1.0,21.8,30.7,30.2,1.13,0.4078
25.02,92.9,436.0,33.1,20.9,0.0,0.0,1.0,20.9,28.4,32.0,1.16,0.5689
25.02,92.91,138.0,33.1,20.4,0.0,0.0,1.0,20.4,31.9,33.5,1.15,0.5684
25.02,92.92,251.0,17.5,20.1,90.0,1.0,0.0,20.1,31.0,34.2,1.14,0.3128
25.02,92.93,141.0,24.6,19.6,90.0,1.0,0.0,19.6,35.2,36.8,1.18,0.4326
25.02,92.94,184.0,27.2,21.2,227.9,-0.742,-0.6704,21.2,29.8,33.5,1.13,0.4765
25.02,92.95,315.0,35.9,22.2,227.9,-0.742,-0.6704,22.2,29.4,33.0,1.12,0.6124
25.02,92.96,526.0,29.2,23.3,270.0,-1.0,-0.0,23.3,27.2,32.8,1.12,0.5106
25.02,92.97,540.0,29.2,22.9,180.0,0.0,-1.0,22.9,30.7,33.2,1.11,0.5102
25.02,92.98,795.0,29.2,25.5,180.0,0.0,-1.0,25.5,32.8,29.4,1.11,0.5127
25.02,92.99,892.0,35.1,28.0,90.0,1.0,0.0,28.0,34.3,27.1,1.09,0.6072
25.02,93.0,719.0,26.3,23.3,0.0,0.0,1.0,23.3,31.5,30.9,1.14,0.4637
25.02,93.01,493.0,39.7,22.3,90.0,1.0,0.0,22.3,28.8,32.7,1.16,0.6673
25.03,92.67,298.0,23.4,24.1,47.9,0.742,0.6704,24.1,38.2,28.6,1.15,0.4163
25.03,92.68,461.0,25.2,24.6,90.0,1.0,0.0,24.6,39.9,29.6,1.15,0.4467
25.03,92.69,394.0,24.8,23.6,180.0,0.0,-1.0,23.6,38.5,29.1,1.14,0.4393
25.03,92.7,605.0,36.8,23.8,90.0,1.0,0.0,23.8,38.3,29.5,1.13,0.6275
25.03,92.71,471.0,28.5,24.5,90.0,1.0,0.0,24.5,38.8,28.3,1.14,0.5005
25.03,92.72,652.0,33.8,24.7,132.1,0.742,-0.6704,24.7,39.8,29.2,1.13,0.5838
25.03,92.73,586.0,31.6,26.8,0.0,0.0,1.0,26.8,37.5,28.5,1.12,0.5521
25.03,92.74,305.0,32.6,24.9,132.1,0.742,-0.6704,24.9,36.2,27.9,1.16,0.5656
25.03,92.75,320.0,39.8,24.7,90.0,1.0,0.0,24.7,35.1,29.2,1.15,0.6717
25.03,92.76,420.0,38.0,24.2,0.0,0.0,1.0,24.2,33.0,28.8,1.14,0.6455
25.03,92.77,63.0,39.8,22.2,90.0,1.0,0.0,22.2,33.6,30.3,1.1,0.6685
25.03,92.78,294.0,30.5,22.6,180.0,0.0,-1.0,22.6,33.2,30.0,1.1,0.5305
25.03,92.79,563.0,31.0,24.7,227.9,-0.742,-0.6704,24.7,35.0,28.6,1.08,0.5405
25.03,92.8,601.0,24.2,24.7,227.9,-0.742,-0.6704,24.7,37.6,30.2,1.11,0.4302
25.03,92.81,532.0,35.7,25.6,270.0,-1.0,-0.0,25.6,35.3,29.7,1.11,0.6134
25.03,92.82,797.0,31.4,24.9,227.9,-0.742,-0.6704,24.9,36.3,31.0,1.1,0.547
25.03,92.83,702.0,33.0,25.6,0.0,0.0,1.0,25.6,35.1,28.6,1.15,0.5725
25.03,92.84,406.0,33.0,27.0,0.0,0.0,1.0,27.0,35.3,28.3,1.14,0.574
25.03,92.85,426.0,24.2,24.8,90.0,1.0,0.0,24.8,35.2,29.5,1.12,0.4303
25.03,92.86,353.0,23.8,22.6,47.9,0.742,0.6704,22.6,35.2,29.8,1.12,0.4218
25.03,92.87,386.0,26.3,21.9,132.1,0.742,-0.6704,21.9,31.8,30.6,1.14,0.4625
25.03,92.88,348.0,36.6,22.3,90.0,1.0,0.0,22.3,32.1,30.5,1.12,0.6228
25.03,92.89,363.0,27.9,20.8,47.9,0.742,0.6704,20.8,31.7,30.8,1.12,0.4874
25.03,92.9,189.0,26.1,21.5,270.0,-1.0,-0.0,21.5,34.0,29.3,1.12,0.4589
25.03,92.91,233.0,17.8,21.8,90.0,1.0,0.0,21.8,31.8,30.8,1.14,0.319
25.03,92.92,255.0,16.5,23.3,132.1,0.742,-0.6704,23.3,30.7,30.8,1.16,0.2973
25.03,92.93,372.0,25.9,20.8,0.0,0.0,1.0,20.8,28.9,34.1,1.13,0.455
25.03,92.94,150.0,35.1,21.8,90.0,1.0,0.0,21.8,33.3,32.9,1.15,0.6001
25.03,92.95,394.0,28.1,21.3,180.0,0.0,-1.0,21.3,28.2,34.1,1.12,0.4911
25.03,92.96,535.0,25.5,22.1,180.0,0.0,-1.0,22.1,33.0,32.4,1.1,0.4495
25.03,92.97,753.0,33.5,24.7,227.9,-0.742,-0.6704,24.7,34.9,30.9,1.15,0.5792
25.03,92.98,708.0,23.7,26.5,270.0,-1.0,-0.0,26.5,35.4,28.1,1.12,0.4233
25.03,92.99,894.0,30.9,28.4,227.9,-0.742,-0.6704,28.4,39.5,23.5,1.1,0.5427
25.03,93.0,941.0,33.4,24.1,47.9,0.742,0.6704,24.1,32.5,31.3,1.13,0.577
25.03,93.01,912.0,39.7,22.6,90.0,1.0,0.0,22.6,31.4,32.1,1.08,0.6676
25.03,93.02,909.0,31.4,22.9,132.1,0.742,-0.6704,22.9,32.4,31.5,1.12,0.5449
25.03,93.03,692.0,34.1,27.6,47.9,0.742,0.6704,27.6,32.2,30.0,1.15,0.5916
25.04,92.66,592.0,23.4,25.4,47.9,0.742,0.6704,25.4,39.4,28.6,1.12,0.4173
25.04,92.67,450.0,19.1,25.1,47.9,0.742,0.6704,25.1,36.7,29.1,1.12,0.3436
25.04,92.68,331.0,23.3,24.8,47.9,0.742,0.6704,24.8,36.8,29.4,1.15,0.4152
25.04,92.69,455.0,25.2,24.3,180.0,0.0,-1.0,24.3,38.5,29.0,1.12,0.4465
25.04,92.7,670.0,25.2,24.6,180.0,0.0,-1.0,24.6,38.7,28.2,1.15,0.4467
25.04,92.71,668.0,21.3,22.5,90.0,1.0,0.0,22.5,40.5,29.0,1.15,0.3796
25.04,92.72,785.0,25.5,24.9,312.1,-0.742,0.6704,24.9,41.1,28.5,1.14,0.452
25.04,92.73,738.0,32.5,24.7,47.9,0.742,0.6704,24.7,41.2,28.1,1.12,0.5638
25.04,92.74,506.0,27.1,26.5,180.0,0.0,-1.0,26.5,38.2,28.2,1.14,0.4797
25.04,92.75,740.0,39.8,25.2,90.0,1.0,0.0,25.2,39.1,28.6,1.19,0.6724
25.04,92.76,526.0,34.2,23.3,47.9,0.742,0.6704,23.3,37.9,31.0,1.12,0.5883
25.04,92.77,484.0,39.8,24.7,90.0,1.0,0.0,24.7,34.8,28.5,1.17,0.6717
25.04,92.78,154.0,35.9,22.4,0.0,0.0,1.0,22.4,35.9,30.5,1.16,0.6126
25.04,92.79,295.0,28.0,23.8,270.0,-1.0,-0.0,23.8,34.1,29.1,1.1,0.4918
25.04,92.8,426.0,34.2,25.2,270.0,-1.0,-0.0,25.2,35.2,29.5,1.17,0.5904
25.04,92.81,381.0,31.4,25.9,227.9,-0.742,-0.6704,25.9,36.3,28.2,1.16,0.548
25.04,92.82,592.0,24.8,24.5,180.0,0.0,-1.0,24.5,36.6,28.6,1.13,0.44
25.04,92.83,643.0,19.2,25.0,47.9,0.742,0.6704,25.0,35.7,29.3,1.147,0.3453
25.04,92.84,515.0,21.9,25.4,90.0,1.0,0.0,25.4,34.6,29.8,1.15,0.3919
25.04,92.85,653.0,24.2,23.9,90.0,1.0,0.0,23.9,35.2,30.1,1.17,0.4295
25.04,92.86,463.0,34.2,25.4,132.1,0.742,-0.6704,25.4,35.2,30.5,1.16,0.5906
25.04,92.87,495.0,40.4,24.8,90.0,1.0,0.0,24.8,32.4,30.2,1.13,0.6803
25.04,92.88,723.0,36.6,23.6,90.0,1.0,0.0,23.6,32.8,31.0,1.13,0.6244
25.04,92.89,485.0,31.3,22.6,47.9,0.742,0.6704,22.6,32.1,30.7,1.129,0.543
25.04,92.9,332.0,18.5,20.9,0.0,0.0,1.0,20.9,30.3,31.7,1.13,0.3306
25.04,92.91,395.0,23.4,21.3,132.1,0.742,-0.6704,21.3,32.7,29.2,1.13,0.4141
25.04,92.92,336.0,35.0,21.2,90.0,1.0,0.0,21.2,29.8,29.9,1.13,0.5979
25.04,92.93,457.0,24.3,23.3,47.9,0.742,0.6704,23.3,29.5,29.4,1.14,0.4307
25.04,92.94,504.0,35.1,23.3,90.0,1.0,0.0,23.3,29.4,30.1,1.14,0.6018
25.04,92.95,615.0,34.4,23.6,0.0,0.0,1.0,23.6,32.4,31.7,1.15,0.5916
25.04,92.96,302.0,40.3,24.2,47.9,0.742,0.6704,24.2,27.9,31.1,1.1,0.6781
25.04,92.97,540.0,27.5,24.9,180.0,0.0,-1.0,24.9,32.1,30.9,1.14,0.4847
25.04,92.98,486.0,30.9,24.1,227.9,-0.742,-0.6704,24.1,30.7,31.3,1.13,0.5383
25.04,92.99,678.0,23.2,25.5,270.0,-1.0,-0.0,25.5,34.0,28.6,1.126,0.414
25.04,93.0,751.0,47.3,26.9,180.0,0.0,-1.0,26.9,34.0,28.2,1.1,0.7745
25.04,93.01,1246.0,47.3,28.6,180.0,0.0,-1.0,28.6,38.2,25.6,1.04,0.777
25.04,93.02,1153.0,37.1,26.0,0.0,0.0,1.0,26.0,34.9,28.8,1.087,0.6346
25.04,93.03,808.0,37.1,25.0,0.0,0.0,1.0,25.0,34.4,29.7,1.12,0.6334
25.04,93.04,547.0,31.6,23.5,47.9,0.742,0.6704,23.5,29.6,30.4,1.17,0.5486
25.05,92.64,292.0,16.4,24.4,227.9,-0.742,-0.6704,24.4,39.5,26.9,1.117,0.2961
25.05,92.65,347.0,36.6,24.6,180.0,0.0,-1.0,24.6,39.0,27.9,1.114,0.6256
25.05,92.66,686.0,36.6,24.7,180.0,0.0,-1.0,24.7,38.5,28.6,1.114,0.6257
25.05,92.67,624.0,23.3,25.2,47.9,0.742,0.6704,25.2,39.4,27.9,1.12,0.4155
25.05,92.68,547.0,23.2,23.7,90.0,1.0,0.0,23.7,37.2,31.0,1.14,0.4126
25.05,92.69,611.0,23.4,24.8,270.0,-1.0,-0.0,24.8,36.0,29.8,1.15,0.4168
25.05,92.7,646.0,29.4,23.6,270.0,-1.0,-0.0,23.6,38.8,28.6,1.13,0.5141
25.05,92.71,580.0,27.9,24.4,270.0,-1.0,-0.0,24.4,40.5,28.2,1.12,0.4908
25.05,92.72,750.0,35.1,25.7,312.1,-0.742,0.6704,25.7,41.7,27.5,1.12,0.6046
25.05,92.73,461.0,32.3,26.4,0.0,0.0,1.0,26.4,37.3,27.8,1.12,0.5626
25.05,92.74,573.0,27.8,25.9,180.0,0.0,-1.0,25.9,38.5,27.7,1.129,0.4905
25.05,92.75,814.0,36.2,24.8,227.9,-0.742,-0.6704,24.8,38.6,28.8,1.151,0.6199
25.05,92.76,731.0,27.6,23.4,0.0,0.0,1.0,23.4,40.4,28.6,1.2,0.485
25.05,92.77,492.0,27.6,25.6,0.0,0.0,1.0,25.6,38.6,30.1,1.15,0.487
25.05,92.78,331.0,35.3,23.8,90.0,1.0,0.0,23.8,33.8,29.7,1.15,0.6054
25.05,92.79,172.0,37.2,23.3,47.9,0.742,0.6704,23.3,35.6,30.3,1.142,0.6328
25.05,92.8,83.0,34.2,23.6,270.0,-1.0,-0.0,23.6,34.3,30.1,1.15,0.5886
25.05,92.81,294.0,37.3,23.9,180.0,0.0,-1.0,23.9,33.8,30.0,1.18,0.635
25.05,92.82,642.0,37.3,24.7,180.0,0.0,-1.0,24.7,38.5,29.1,1.18,0.6359
25.05,92.83,718.0,18.1,24.3,312.1,-0.742,0.6704,24.3,35.7,30.1,1.154,0.3258
25.05,92.84,718.0,23.8,23.3,270.0,-1.0,-0.0,23.3,34.6,29.8,1.18,0.4224
25.05,92.85,713.0,24.1,24.7,132.1,0.742,-0.6704,24.7,33.3,28.9,1.18,0.4285
25.05,92.86,710.0,31.9,25.1,132.1,0.742,-0.6704,25.1,34.4,31.6,1.19,0.555
25.05,92.87,925.0,40.4,24.5,90.0,1.0,0.0,24.5,34.3,32.5,1.12,0.6799
25.05,92.88,898.0,38.0,24.0,0.0,0.0,1.0,24.0,33.6,31.8,1.13,0.6452
25.05,92.89,541.0,42.1,25.2,90.0,1.0,0.0,25.2,32.3,30.9,1.15,0.7042
25.05,92.9,489.0,45.9,25.2,90.0,1.0,0.0,25.2,32.6,29.5,1.12,0.7543
25.05,92.91,411.0,41.3,22.5,47.9,0.742,0.6704,22.5,34.0,29.5,1.12,0.6897
25.05,92.92,689.0,35.0,25.2,90.0,1.0,0.0,25.2,36.5,30.9,1.12,0.6025
25.05,92.93,594.0,35.4,25.4,90.0,1.0,0.0,25.4,35.6,30.9,1.14,0.6087
25.05,92.94,571.0,34.1,23.3,180.0,0.0,-1.0,23.3,28.9,32.1,1.12,0.5868
25.05,92.95,880.0,40.3,24.8,47.9,0.742,0.6704,24.8,32.2,32.2,1.15,0.6789
25.05,92.96,544.0,40.8,24.3,90.0,1.0,0.0,24.3,32.4,30.3,1.12,0.6852
25.05,92.97,458.0,37.5,23.4,47.9,0.742,0.6704,23.4,29.5,30.4,1.14,0.6373
25.05,92.98,396.0,25.2,23.6,47.9,0.742,0.6704,23.6,32.0,30.7,1.14,0.4459
25.05,92.99,593.0,23.4,23.9,132.1,0.742,-0.6704,23.9,32.6,29.5,1.15,0.4161
25.05,93.0,724.0,37.5,24.8,227.9,-0.742,-0.6704,24.8,34.6,28.2,1.16,0.639
25.05,93.01,874.0,39.9,28.6,180.0,0.0,-1.0,28.6,42.7,23.6,1.11,0.6781
25.05,93.02,1256.0,39.9,27.9,180.0,0.0,-1.0,27.9,37.7,27.3,1.02,0.6772
25.05,93.03,965.0,32.5,24.8,0.0,0.0,1.0,24.8,27.4,32.2,1.1,0.5639
25.05,93.04,755.0,44.7,25.7,90.0,1.0,0.0,25.7,29.7,29.9,1.16,0.7395
25.05,93.05,609.0,43.5,27.6,47.9,0.742,0.6704,27.6,27.0,29.6,1.17,0.7264
25.06,92.63,92.0,16.4,23.6,227.9,-0.742,-0.6704,23.6,40.2,25.3,1.14,0.2957
