latitude,longitude,elevation,slope,clay_percentage,aspect,aspect_sin,aspect_cos,clay_percent,sand_percent,silt_percent,bulk_density,shear_stress_factor
25.6,93.26,338.0,13.8,26.9,0.0,0.0,1.0,26.9,36.3,27.7,1.072,0.2514
25.6,93.27,354.0,15.4,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.2798
25.6,93.28,406.0,20.7,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.3725
25.6,93.29,407.0,20.8,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.3742
25.61,92.68,662.0,33.3,26.1,312.1,-0.742,0.6704,26.1,35.6,27.8,1.082,0.5777
25.61,92.69,636.0,39.8,26.5,270.0,-1.0,-0.0,26.5,35.1,28.2,1.077,0.674
25.61,92.7,593.0,36.8,26.6,270.0,-1.0,-0.0,26.6,34.8,28.4,1.07,0.6309
25.61,92.71,568.0,35.0,26.8,270.0,-1.0,-0.0,26.8,33.9,28.5,1.065,0.6043
25.61,92.72,558.0,34.2,26.6,270.0,-1.0,-0.0,26.6,34.6,28.7,1.072,0.592
25.61,92.73,462.0,26.1,26.2,270.0,-1.0,-0.0,26.2,34.8,28.8,1.077,0.463
25.61,92.74,317.0,17.6,26.2,0.0,0.0,1.0,26.2,34.8,28.8,1.077,0.3182
25.61,92.75,273.0,8.7,26.4,180.0,0.0,-1.0,26.4,35.5,27.9,1.092,0.1592
25.61,92.76,343.0,14.2,26.3,270.0,-1.0,-0.0,26.3,35.9,27.6,1.098,0.2582
25.61,92.77,378.0,17.9,26.0,270.0,-1.0,-0.0,26.0,37.2,27.3,1.113,0.3233
25.61,92.78,340.0,13.9,25.8,270.0,-1.0,-0.0,25.8,37.9,27.4,1.124,0.2526
25.61,92.79,300.0,9.6,25.8,270.0,-1.0,-0.0,25.8,37.8,27.2,1.135,0.1754
25.61,92.8,293.0,8.8,25.8,270.0,-1.0,-0.0,25.8,37.8,27.2,1.135,0.1609
25.61,92.81,254.0,4.9,25.4,0.0,0.0,1.0,25.4,36.7,27.7,1.137,0.0898
25.61,92.82,291.0,8.6,25.0,270.0,-1.0,-0.0,25.0,36.4,28.0,1.138,0.157
25.61,92.83,296.0,12.6,24.8,0.0,0.0,1.0,24.8,36.3,28.4,1.14,0.229
25.61,92.84,194.0,12.6,24.1,0.0,0.0,1.0,24.1,35.5,29.5,1.143,0.2287
25.61,92.85,198.0,4.4,24.1,312.1,-0.742,0.6704,24.1,35.5,29.5,1.143,0.0804
25.61,92.86,164.0,5.8,23.9,90.0,1.0,0.0,23.9,34.4,30.3,1.15,0.1059
25.61,92.87,166.0,5.5,23.4,90.0,1.0,0.0,23.4,32.4,31.5,1.148,0.1003
25.61,92.88,174.0,4.6,23.4,90.0,1.0,0.0,23.4,32.4,31.5,1.148,0.084
25.61,92.89,200.0,3.6,23.5,0.0,0.0,1.0,23.5,32.2,31.4,1.141,0.0657
25.61,92.9,171.0,5.0,23.8,90.0,1.0,0.0,23.8,33.0,31.0,1.141,0.0913
25.61,92.91,179.0,4.4,24.2,0.0,0.0,1.0,24.2,32.9,31.0,1.142,0.0804
25.61,92.92,144.0,8.0,24.2,90.0,1.0,0.0,24.2,32.9,31.0,1.142,0.1459
25.61,92.93,132.0,9.3,23.9,90.0,1.0,0.0,23.9,32.4,31.3,1.144,0.1693
25.61,92.94,124.0,10.2,23.9,90.0,1.0,0.0,23.9,32.4,31.3,1.144,0.1855
25.61,92.95,132.0,9.3,23.5,90.0,1.0,0.0,23.5,32.5,31.3,1.145,0.1692
25.61,92.96,184.0,6.9,23.4,132.1,0.742,-0.6704,23.4,32.9,30.9,1.154,0.1258
25.61,92.97,219.0,6.9,23.6,90.0,1.0,0.0,23.6,32.4,30.8,1.154,0.1258
25.61,92.98,271.0,10.3,23.2,0.0,0.0,1.0,23.2,31.7,31.1,1.16,0.1871
25.61,92.99,188.0,10.3,23.3,0.0,0.0,1.0,23.3,30.7,31.2,1.161,0.1871
25.61,93.0,205.0,3.5,23.4,180.0,0.0,-1.0,23.4,29.9,31.0,1.161,0.0639
25.61,93.01,215.0,3.5,23.4,90.0,1.0,0.0,23.4,29.9,31.0,1.161,0.0639
25.61,93.02,203.0,6.9,23.7,227.9,-0.742,-0.6704,23.7,30.1,30.9,1.149,0.1258
25.61,93.03,204.0,9.2,23.7,270.0,-1.0,-0.0,23.7,30.1,30.9,1.149,0.1675
25.61,93.04,268.0,6.9,24.6,312.1,-0.742,0.6704,24.6,30.8,30.1,1.131,0.126
25.61,93.05,250.0,3.5,25.4,227.9,-0.742,-0.6704,25.4,30.9,29.4,1.109,0.0641
25.61,93.06,270.0,5.7,26.0,227.9,-0.742,-0.6704,26.0,32.0,28.9,1.095,0.1045
25.61,93.07,283.0,7.7,26.3,270.0,-1.0,-0.0,26.3,33.0,28.4,1.086,0.141
25.61,93.08,278.0,5.7,26.4,312.1,-0.742,0.6704,26.4,33.6,28.3,1.087,0.1046
25.61,93.09,242.0,3.5,26.7,312.1,-0.742,0.6704,26.7,35.0,28.0,1.081,0.0643
25.61,93.1,249.0,6.5,26.9,227.9,-0.742,-0.6704,26.9,36.3,27.7,1.071,0.1193
25.61,93.11,241.0,9.2,26.9,227.9,-0.742,-0.6704,26.9,36.3,27.7,1.071,0.1685
25.61,93.12,277.0,12.3,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.071,0.2245
25.61,93.13,333.0,9.3,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.071,0.1703
25.61,93.14,431.0,11.6,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.071,0.2119
25.61,93.15,400.0,15.8,26.9,227.9,-0.742,-0.6704,26.9,36.3,27.7,1.072,0.2869
25.61,93.16,425.0,20.9,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.3759
